name,city,forest,Season,active,Famous Forest for It,Food,Preferred Shelter Type,Unique Fact,Endemic Status,Conservation Status
Indian Leopard,Guwahati,Mangrove,monsoon,night,Ranthambore National Park,Carnivore,Dense Trees,"Can weigh up to 2,200 kg.",No,Near Threatened
Blackbuck,Guwahati,Mangrove,monsoon,night,Jim Corbett National Park,Omnivore,Water Bodies,Its venom is neurotoxic and highly potent.,No,Least Concern
Sloth Bear,Jaipur,Thorn Forest,summer,night,Kanha National Park,Omnivore,Caves,Can communicate using low-frequency rumbles.,No,Near Threatened
One-Horned Rhinoceros,Shimla,Thorn Forest,summer,afternoon,Periyar Wildlife Sanctuary,Insectivore,Caves,"Hunts in packs, similar to African wild dogs.",No,Near Threatened
Asiatic Lion,Hyderabad,Deciduous Forest,winter,afternoon,Hemis National Park,Carnivore,Dense Trees,Has the strongest bite force among big cats.,No,Critically Endangered
Indian Leopard,Lucknow,Mangrove,monsoon,night,Gir Forest,Insectivore,Caves,Can leap over 20 feet in a single bound.,No,Near Threatened
Indian Cobra,Lucknow,Deciduous Forest,monsoon,morning,Gir Forest,Omnivore,Water Bodies,Uses its long tongue to extract termites from nests.,No,
Bengal Tiger,Pune,Himalayan Forest,summer,night,Jim Corbett National Park,Insectivore,Water Bodies,Uses its long tongue to extract termites from nests.,No,
Indian Elephant,Jaipur,Himalayan Forest,monsoon,night,Kaziranga National Park,Herbivore,Grasslands,Can communicate using low-frequency rumbles.,No,
Snow Leopard,Lucknow,Deciduous Forest,winter,afternoon,Ranthambore National Park,Insectivore,Water Bodies,"Hunts in packs, similar to African wild dogs.",No,
Golden Langur,Lucknow,Thorn Forest,summer,afternoon,Sundarbans,Carnivore,Grasslands,Uses its long tongue to extract termites from nests.,No,
Indian Elephant,Hyderabad,Tropical Rainforest,monsoon,morning,Kaziranga National Park,Omnivore,Rocky Terrain,Has the strongest bite force among big cats.,No,
Indian Elephant,Hyderabad,Mangrove,winter,night,Jim Corbett National Park,Omnivore,Dense Trees,Survives in extreme cold temperatures.,No,
Indian Wolf,Mumbai,Himalayan Forest,winter,morning,Hemis National Park,Carnivore,Dense Trees,"Can weigh up to 2,200 kg.",No,
Sloth Bear,Guwahati,Deciduous Forest,monsoon,morning,Nagarhole National Park,Herbivore,Grasslands,Survives in extreme cold temperatures.,No,Near Threatened
Asiatic Lion,Lucknow,Thorn Forest,summer,afternoon,Bandhavgarh National Park,Herbivore,Grasslands,Recognizable by its golden fur.,No,Critically Endangered
Snow Leopard,Shimla,Deciduous Forest,summer,morning,Jim Corbett National Park,Herbivore,Burrows,Largest species of wild cattle.,No,
Indian Wolf,Guwahati,Himalayan Forest,monsoon,night,Kanha National Park,Insectivore,Dense Trees,Largest species of wild cattle.,No,
Bengal Tiger,Delhi,Himalayan Forest,monsoon,night,Ranthambore National Park,Insectivore,Grasslands,"Can weigh up to 2,200 kg.",No,
Red Panda,Guwahati,Himalayan Forest,summer,night,Ranthambore National Park,Omnivore,Rocky Terrain,"Can weigh up to 2,200 kg.",No,
Bengal Tiger,Ranchi,Thorn Forest,summer,night,Jim Corbett National Park,Herbivore,Burrows,"Hunts in packs, similar to African wild dogs.",No,
Bengal Tiger,Chennai,Deciduous Forest,summer,night,Hemis National Park,Carnivore,Grasslands,Its venom is neurotoxic and highly potent.,No,
Indian Leopard,Hyderabad,Mangrove,monsoon,night,Nagarhole National Park,Herbivore,Rocky Terrain,"Hunts in packs, similar to African wild dogs.",No,Near Threatened
Golden Langur,Pune,Deciduous Forest,winter,night,Bandhavgarh National Park,Carnivore,Caves,Largest species of wild cattle.,No,
Indian Leopard,Hyderabad,Thorn Forest,winter,night,Kanha National Park,Insectivore,Grasslands,Its venom is neurotoxic and highly potent.,No,Near Threatened
Red Panda,Chennai,Tropical Rainforest,monsoon,afternoon,Periyar Wildlife Sanctuary,Omnivore,Burrows,Can communicate using low-frequency rumbles.,No,
Indian Star Tortoise,Pune,Tropical Rainforest,winter,night,Periyar Wildlife Sanctuary,Carnivore,Burrows,Its venom is neurotoxic and highly potent.,No,
Indian Wolf,Jaipur,Mangrove,monsoon,night,Kanha National Park,Carnivore,Rocky Terrain,Can communicate using low-frequency rumbles.,No,
Indian Elephant,Bhopal,Deciduous Forest,summer,afternoon,Bandhavgarh National Park,Omnivore,Dense Trees,Can communicate using low-frequency rumbles.,No,
Blackbuck,Bengaluru,Tropical Rainforest,monsoon,morning,Bandhavgarh National Park,Omnivore,Caves,The longest venomous snake in the world.,No,Least Concern
Sloth Bear,Ranchi,Tropical Rainforest,winter,afternoon,Nagarhole National Park,Insectivore,Rocky Terrain,Can run at speeds of up to 80 km/h.,No,Near Threatened
One-Horned Rhinoceros,Bhopal,Himalayan Forest,monsoon,afternoon,Jim Corbett National Park,Carnivore,Grasslands,Can leap over 20 feet in a single bound.,No,Near Threatened
Indian Star Tortoise,Chennai,Tropical Rainforest,summer,morning,Periyar Wildlife Sanctuary,Insectivore,Rocky Terrain,Can run at speeds of up to 80 km/h.,No,
Indian Leopard,Ranchi,Deciduous Forest,monsoon,night,Ranthambore National Park,Omnivore,Burrows,Survives in extreme cold temperatures.,No,Near Threatened
Indian Leopard,Chennai,Deciduous Forest,monsoon,night,Jim Corbett National Park,Insectivore,Water Bodies,The longest venomous snake in the world.,No,Near Threatened
Gaur,Lucknow,Himalayan Forest,monsoon,night,Nagarhole National Park,Omnivore,Burrows,Survives in extreme cold temperatures.,No,
Asiatic Lion,Delhi,Thorn Forest,monsoon,morning,Jim Corbett National Park,Carnivore,Rocky Terrain,Largest species of wild cattle.,No,Critically Endangered
Red Panda,Jaipur,Deciduous Forest,monsoon,morning,Kaziranga National Park,Herbivore,Burrows,The longest venomous snake in the world.,No,
Gaur,Delhi,Thorn Forest,winter,night,Gir Forest,Herbivore,Rocky Terrain,Uses its long tongue to extract termites from nests.,No,
Bengal Tiger,Lucknow,Mangrove,monsoon,night,Ranthambore National Park,Insectivore,Grasslands,Its venom is neurotoxic and highly potent.,No,
Blackbuck,Guwahati,Himalayan Forest,summer,morning,Sundarbans,Omnivore,Water Bodies,"Can weigh up to 2,200 kg.",No,Least Concern
Blackbuck,Bengaluru,Thorn Forest,monsoon,night,Kanha National Park,Omnivore,Water Bodies,Can run at speeds of up to 80 km/h.,No,Least Concern
Indian Elephant,Ranchi,Mangrove,monsoon,night,Kaziranga National Park,Omnivore,Water Bodies,"Hunts in packs, similar to African wild dogs.",No,
Blackbuck,Nagpur,Himalayan Forest,winter,morning,Ranthambore National Park,Carnivore,Dense Trees,One of the world's most elusive animals.,No,Least Concern
Asiatic Lion,Jaipur,Tropical Rainforest,monsoon,afternoon,Sundarbans,Herbivore,Water Bodies,Largest species of wild cattle.,No,Critically Endangered
Bengal Tiger,Jaipur,Deciduous Forest,winter,night,Hemis National Park,Carnivore,Dense Trees,Can leap over 20 feet in a single bound.,No,
Asiatic Lion,Shimla,Mangrove,monsoon,night,Bandhavgarh National Park,Insectivore,Caves,Can communicate using low-frequency rumbles.,No,Critically Endangered
Indian Wolf,Hyderabad,Tropical Rainforest,monsoon,morning,Hemis National Park,Omnivore,Caves,Can communicate using low-frequency rumbles.,No,
Indian Cobra,Bhopal,Deciduous Forest,monsoon,morning,Ranthambore National Park,Insectivore,Rocky Terrain,"Hunts in packs, similar to African wild dogs.",No,
King Cobra,Hyderabad,Thorn Forest,monsoon,afternoon,Kaziranga National Park,Insectivore,Caves,Recognizable by its golden fur.,No,
Indian Star Tortoise,Chennai,Himalayan Forest,monsoon,morning,Kaziranga National Park,Omnivore,Dense Trees,Largest species of wild cattle.,No,
One-Horned Rhinoceros,Guwahati,Deciduous Forest,summer,morning,Gir Forest,Insectivore,Rocky Terrain,The longest venomous snake in the world.,No,Near Threatened
Indian Leopard,Hyderabad,Mangrove,winter,night,Kanha National Park,Herbivore,Rocky Terrain,Recognizable by its golden fur.,No,Near Threatened
Snow Leopard,Chennai,Thorn Forest,monsoon,night,Periyar Wildlife Sanctuary,Herbivore,Dense Trees,Has the strongest bite force among big cats.,No,
Golden Langur,Guwahati,Thorn Forest,summer,afternoon,Nagarhole National Park,Herbivore,Burrows,Survives in extreme cold temperatures.,No,
Indian Star Tortoise,Pune,Thorn Forest,monsoon,morning,Nagarhole National Park,Insectivore,Rocky Terrain,The only lion species found outside Africa.,No,
Blackbuck,Dehradun,Mangrove,winter,afternoon,Ranthambore National Park,Herbivore,Rocky Terrain,"Can weigh up to 2,200 kg.",No,Least Concern
Asiatic Lion,Hyderabad,Mangrove,monsoon,morning,Nagarhole National Park,Omnivore,Burrows,The longest venomous snake in the world.,No,Critically Endangered
One-Horned Rhinoceros,Chennai,Mangrove,summer,afternoon,Jim Corbett National Park,Insectivore,Rocky Terrain,Can run at speeds of up to 80 km/h.,No,Near Threatened
Indian Leopard,Nagpur,Thorn Forest,monsoon,night,Ranthambore National Park,Insectivore,Dense Trees,Has a beautifully patterned shell for camouflage.,No,Near Threatened
Indian Star Tortoise,Dehradun,Himalayan Forest,summer,afternoon,Jim Corbett National Park,Herbivore,Burrows,Uses its long tongue to extract termites from nests.,No,
Asiatic Lion,Kolkata,Deciduous Forest,winter,afternoon,Hemis National Park,Carnivore,Dense Trees,Has a beautifully patterned shell for camouflage.,No,Critically Endangered
Indian Wolf,Bhopal,Thorn Forest,summer,morning,Sundarbans,Insectivore,Grasslands,Largest species of wild cattle.,No,
Indian Star Tortoise,Nagpur,Thorn Forest,monsoon,morning,Nagarhole National Park,Insectivore,Rocky Terrain,Recognizable by its golden fur.,No,
Asiatic Lion,Shimla,Deciduous Forest,summer,afternoon,Kaziranga National Park,Insectivore,Grasslands,Can leap over 20 feet in a single bound.,No,Critically Endangered
Indian Star Tortoise,Chennai,Deciduous Forest,winter,afternoon,Hemis National Park,Herbivore,Caves,Can leap over 20 feet in a single bound.,No,
Indian Leopard,Delhi,Tropical Rainforest,monsoon,night,Bandhavgarh National Park,Herbivore,Dense Trees,Its venom is neurotoxic and highly potent.,No,Near Threatened
Asiatic Lion,Mumbai,Himalayan Forest,summer,night,Kanha National Park,Omnivore,Burrows,Uses its long tongue to extract termites from nests.,No,Critically Endangered
Asiatic Lion,Chennai,Deciduous Forest,monsoon,afternoon,Gir Forest,Herbivore,Rocky Terrain,Its venom is neurotoxic and highly potent.,No,Critically Endangered
Golden Langur,Lucknow,Deciduous Forest,winter,afternoon,Nagarhole National Park,Carnivore,Burrows,Has the strongest bite force among big cats.,No,
Gaur,Shimla,Tropical Rainforest,monsoon,afternoon,Kanha National Park,Insectivore,Burrows,The longest venomous snake in the world.,No,
Indian Star Tortoise,Lucknow,Thorn Forest,monsoon,afternoon,Nagarhole National Park,Herbivore,Caves,Its venom is neurotoxic and highly potent.,No,
Gaur,Guwahati,Thorn Forest,monsoon,morning,Nagarhole National Park,Herbivore,Water Bodies,Has the strongest bite force among big cats.,No,
Bengal Tiger,Pune,Tropical Rainforest,monsoon,night,Periyar Wildlife Sanctuary,Carnivore,Rocky Terrain,The longest venomous snake in the world.,No,
Blackbuck,Kolkata,Himalayan Forest,summer,night,Jim Corbett National Park,Omnivore,Dense Trees,Largest species of wild cattle.,No,Least Concern
Indian Wolf,Kolkata,Deciduous Forest,summer,night,Kanha National Park,Insectivore,Burrows,"Hunts in packs, similar to African wild dogs.",No,
King Cobra,Delhi,Tropical Rainforest,monsoon,morning,Hemis National Park,Herbivore,Rocky Terrain,The only lion species found outside Africa.,No,
Golden Langur,Jaipur,Thorn Forest,winter,night,Jim Corbett National Park,Insectivore,Water Bodies,Recognizable by its golden fur.,No,
Red Panda,Chennai,Thorn Forest,monsoon,night,Nagarhole National Park,Carnivore,Burrows,Largest species of wild cattle.,No,
Asiatic Lion,Hyderabad,Tropical Rainforest,summer,night,Hemis National Park,Herbivore,Grasslands,Recognizable by its golden fur.,No,Critically Endangered
Blackbuck,Kolkata,Mangrove,winter,night,Hemis National Park,Omnivore,Rocky Terrain,Recognizable by its golden fur.,No,Least Concern
One-Horned Rhinoceros,Guwahati,Deciduous Forest,monsoon,afternoon,Jim Corbett National Park,Insectivore,Water Bodies,Recognizable by its golden fur.,No,Near Threatened
Indian Cobra,Bengaluru,Himalayan Forest,monsoon,night,Kanha National Park,Omnivore,Grasslands,The only lion species found outside Africa.,No,
One-Horned Rhinoceros,Dehradun,Deciduous Forest,summer,night,Ranthambore National Park,Herbivore,Rocky Terrain,Uses its long tongue to extract termites from nests.,No,Near Threatened
Snow Leopard,Hyderabad,Himalayan Forest,summer,morning,Nagarhole National Park,Omnivore,Burrows,The only lion species found outside Africa.,No,
Indian Cobra,Shimla,Himalayan Forest,winter,night,Bandhavgarh National Park,Insectivore,Caves,Has a beautifully patterned shell for camouflage.,No,
Bengal Tiger,Kolkata,Thorn Forest,monsoon,night,Nagarhole National Park,Herbivore,Grasslands,The longest venomous snake in the world.,No,
Blackbuck,Dehradun,Mangrove,summer,morning,Sundarbans,Carnivore,Caves,"Can weigh up to 2,200 kg.",No,Least Concern
Gaur,Lucknow,Mangrove,summer,afternoon,Kaziranga National Park,Herbivore,Caves,Survives in extreme cold temperatures.,No,
Indian Elephant,Ranchi,Tropical Rainforest,summer,morning,Bandhavgarh National Park,Carnivore,Caves,The only lion species found outside Africa.,No,
One-Horned Rhinoceros,Chennai,Tropical Rainforest,winter,afternoon,Bandhavgarh National Park,Insectivore,Caves,Largest species of wild cattle.,No,Near Threatened
