name,Scientific Name,Endemic Status,Conservation Status,forest,city,Region,Unique Fact,Season,active
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Mumbai,West India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",winter,afternoon
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Chennai,South India,Commonly found near human habitation; known for their adaptability.,winter,night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Kolkata,East India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,summer,morning
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Guwahati,Northeast India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,summer,afternoon
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Delhi,North India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,summer,afternoon
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Mumbai,West India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,monsoon,afternoon
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Guwahati,Northeast India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",winter,morning
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Kolkata,East India,Commonly found near human habitation; known for their adaptability.,summer,night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Delhi,North India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,summer,afternoon
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Guwahati,Northeast India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,monsoon,afternoon
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Delhi,North India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,monsoon,night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Delhi,North India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",monsoon,morning
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Bhopal,Central India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,summer,afternoon
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Guwahati,Northeast India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,summer,morning
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Bangalore,South India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,winter,night
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Bhopal,Central India,Commonly found near human habitation; known for their adaptability.,summer,afternoon
