Plant Name,Scientific Name,Forest Type,Peak Season,Height (m),Famous Forest,Soil Type,Land Area Found,City,Region,Unique Fact,Endemic to India,Conservation Status,Medicinal Use,Season,Most Active Time
Peepal,Ficus religiosa,Tropical Rainforest,Autumn,25,Kaziranga,Red,Plains,Guwahati,Northeast India,Sacred in Hinduism,Yes,Least Concern,No,Summer,Night
Rosewood,Dalbergia latifolia,Deciduous Forest,Summer,15,Himalayan Forests,Black,Hills,Chennai,South India,Important timber species,No,Critically Endangered,No,Autumn,Both
Banyan,Ficus benghalensis,Montane Forest,Summer,30,Sundarbans,Alluvial,Coastal Areas,Bhopal,Central India,Host to diverse epiphytes,No,Critically Endangered,Yes,Spring,Both
Mango,Mangifera indica,Tropical Rainforest,Autumn,18,Jim Corbett National Park,Laterite,Coastal Areas,Chennai,South India,Attracts fruit bats,No,Least Concern,No,Winter,Both
Jamun,Syzygium cumini,Mangrove Forest,Monsoon,22,Western Ghats,Black,Riverbanks,Delhi,North India,National tree of India,No,Least Concern,No,Winter,Both
Mango,Mangifera indica,Deciduous Forest,Monsoon,18,Sundarbans,Black,Wetlands,Hyderabad,South India,Attracts fruit bats,Yes,Critically Endangered,No,Monsoon,Day
Coconut,Cocos nucifera,Mangrove Forest,Summer,12,Jim Corbett National Park,Sandy,Riverbanks,Delhi,North India,Used in shipbuilding,No,Least Concern,No,Winter,Night
Sal,Shorea robusta,Mangrove Forest,Summer,40,Western Ghats,Black,Wetlands,Hyderabad,South India,Source of sandalwood oil,Yes,Least Concern,No,Monsoon,Day
Mango,Mangifera indica,Mangrove Forest,Summer,18,Western Ghats,Laterite,Hills,Bhopal,Central India,Attracts fruit bats,No,Least Concern,Yes,Autumn,Both
Teak,Tectona grandis,Mangrove Forest,Autumn,35,Kaziranga,Sandy,Coastal Areas,Hyderabad,South India,High commercial value,No,Near Threatened,Yes,Spring,Both
Banyan,Ficus benghalensis,Deciduous Forest,Summer,30,Western Ghats,Alluvial,Wetlands,Delhi,North India,Host to diverse epiphytes,Yes,Least Concern,No,Autumn,Day
Coconut,Cocos nucifera,Tropical Rainforest,Autumn,12,Kaziranga,Black,Wetlands,Shimla,North India,Used in shipbuilding,No,Near Threatened,Yes,Autumn,Day
Peepal,Ficus religiosa,Montane Forest,Autumn,25,Sundarbans,Sandy,Riverbanks,Delhi,North India,Sacred in Hinduism,No,Critically Endangered,No,Autumn,Night
Coconut,Cocos nucifera,Tropical Rainforest,Spring,12,Sundarbans,Alluvial,Hills,Chennai,South India,Used in shipbuilding,No,Critically Endangered,Yes,Spring,Night
Jamun,Syzygium cumini,Deciduous Forest,Winter,22,Jim Corbett National Park,Red,Wetlands,Guwahati,Northeast India,National tree of India,No,Least Concern,Yes,Summer,Night
Sandalwood,Santalum album,Montane Forest,Spring,10,Sundarbans,Sandy,Plains,Bhopal,Central India,Fire-resistant bark,Yes,Critically Endangered,No,Monsoon,Day
Jamun,Syzygium cumini,Mangrove Forest,Autumn,22,Sundarbans,Red,Riverbanks,Hyderabad,South India,National tree of India,No,Critically Endangered,Yes,Spring,Day
Coconut,Cocos nucifera,Deciduous Forest,Autumn,12,Himalayan Forests,Sandy,Riverbanks,Bhopal,Central India,Used in shipbuilding,Yes,Critically Endangered,Yes,Autumn,Day
Sal,Shorea robusta,Dry Thorn Forest,Summer,40,Jim Corbett National Park,Laterite,Riverbanks,Chennai,South India,Source of sandalwood oil,No,Least Concern,Yes,Winter,Both
Peepal,Ficus religiosa,Dry Thorn Forest,Summer,25,Kaziranga,Sandy,Coastal Areas,Kolkata,East India,Sacred in Hinduism,No,Critically Endangered,No,Autumn,Night
Sal,Shorea robusta,Mangrove Forest,Monsoon,40,Sundarbans,Black,Wetlands,Delhi,North India,Source of sandalwood oil,No,Least Concern,Yes,Summer,Night
Rosewood,Dalbergia latifolia,Mangrove Forest,Monsoon,15,Jim Corbett National Park,Black,Plains,Delhi,North India,Important timber species,Yes,Critically Endangered,No,Monsoon,Day
Neem,Azadirachta indica,Montane Forest,Monsoon,20,Jim Corbett National Park,Laterite,Riverbanks,Kolkata,East India,Used in Ayurveda,Yes,Least Concern,Yes,Winter,Day
Jamun,Syzygium cumini,Tropical Rainforest,Monsoon,22,Kaziranga,Black,Plains,Chennai,South India,National tree of India,No,Least Concern,Yes,Autumn,Night
Sal,Shorea robusta,Montane Forest,Spring,40,Himalayan Forests,Red,Coastal Areas,Shimla,North India,Source of sandalwood oil,Yes,Critically Endangered,No,Spring,Night
Sal,Shorea robusta,Dry Thorn Forest,Spring,40,Jim Corbett National Park,Laterite,Hills,Bangalore,South India,Source of sandalwood oil,No,Least Concern,Yes,Spring,Day
Neem,Azadirachta indica,Mangrove Forest,Autumn,20,Kaziranga,Alluvial,Coastal Areas,Delhi,North India,Used in Ayurveda,Yes,Least Concern,No,Spring,Day
Banyan,Ficus benghalensis,Dry Thorn Forest,Monsoon,30,Jim Corbett National Park,Sandy,Wetlands,Kolkata,East India,Host to diverse epiphytes,No,Near Threatened,Yes,Spring,Day
Sal,Shorea robusta,Montane Forest,Spring,40,Western Ghats,Alluvial,Hills,Hyderabad,South India,Source of sandalwood oil,No,Near Threatened,Yes,Autumn,Both
Teak,Tectona grandis,Montane Forest,Monsoon,35,Jim Corbett National Park,Black,Coastal Areas,Shimla,North India,High commercial value,Yes,Least Concern,No,Autumn,Day
Coconut,Cocos nucifera,Montane Forest,Summer,12,Kaziranga,Alluvial,Coastal Areas,Hyderabad,South India,Used in shipbuilding,No,Least Concern,No,Summer,Both
Mango,Mangifera indica,Tropical Rainforest,Autumn,18,Himalayan Forests,Red,Plains,Shimla,North India,Attracts fruit bats,No,Least Concern,Yes,Summer,Night
Banyan,Ficus benghalensis,Deciduous Forest,Summer,30,Jim Corbett National Park,Red,Wetlands,Jaipur,West India,Host to diverse epiphytes,Yes,Critically Endangered,No,Winter,Day
Mango,Mangifera indica,Mangrove Forest,Summer,18,Jim Corbett National Park,Black,Wetlands,Hyderabad,South India,Attracts fruit bats,No,Near Threatened,No,Winter,Both
Banyan,Ficus benghalensis,Mangrove Forest,Summer,30,Sundarbans,Laterite,Coastal Areas,Bangalore,South India,Host to diverse epiphytes,Yes,Near Threatened,No,Summer,Night
Teak,Tectona grandis,Montane Forest,Spring,35,Kaziranga,Sandy,Plains,Hyderabad,South India,High commercial value,No,Least Concern,Yes,Winter,Day
Coconut,Cocos nucifera,Montane Forest,Spring,12,Western Ghats,Black,Hills,Bhopal,Central India,Used in shipbuilding,No,Least Concern,Yes,Spring,Night
Rosewood,Dalbergia latifolia,Dry Thorn Forest,Autumn,15,Jim Corbett National Park,Black,Coastal Areas,Delhi,North India,Important timber species,Yes,Least Concern,No,Winter,Day
Peepal,Ficus religiosa,Montane Forest,Autumn,25,Himalayan Forests,Laterite,Hills,Delhi,North India,Sacred in Hinduism,Yes,Least Concern,Yes,Autumn,Both
Mango,Mangifera indica,Tropical Rainforest,Autumn,18,Sundarbans,Alluvial,Riverbanks,Delhi,North India,Attracts fruit bats,Yes,Least Concern,No,Summer,Night
Peepal,Ficus religiosa,Deciduous Forest,Spring,25,Sundarbans,Sandy,Plains,Bhopal,Central India,Sacred in Hinduism,Yes,Least Concern,Yes,Autumn,Day
Sal,Shorea robusta,Montane Forest,Monsoon,40,Kaziranga,Red,Riverbanks,Guwahati,Northeast India,Source of sandalwood oil,Yes,Least Concern,No,Monsoon,Day
Sandalwood,Santalum album,Deciduous Forest,Summer,10,Himalayan Forests,Black,Coastal Areas,Delhi,North India,Fire-resistant bark,No,Least Concern,Yes,Summer,Both
Sandalwood,Santalum album,Dry Thorn Forest,Winter,10,Jim Corbett National Park,Alluvial,Plains,Delhi,North India,Fire-resistant bark,Yes,Least Concern,Yes,Spring,Day
Jamun,Syzygium cumini,Deciduous Forest,Autumn,22,Western Ghats,Sandy,Hills,Hyderabad,South India,National tree of India,Yes,Least Concern,Yes,Autumn,Night
Sal,Shorea robusta,Montane Forest,Monsoon,40,Jim Corbett National Park,Sandy,Coastal Areas,Delhi,North India,Source of sandalwood oil,No,Least Concern,No,Monsoon,Night
Teak,Tectona grandis,Deciduous Forest,Monsoon,35,Jim Corbett National Park,Black,Coastal Areas,Delhi,North India,High commercial value,No,Least Concern,Yes,Autumn,Day
Sal,Shorea robusta,Mangrove Forest,Summer,40,Kaziranga,Red,Hills,Jaipur,West India,Source of sandalwood oil,Yes,Near Threatened,Yes,Spring,Day
Jamun,Syzygium cumini,Mangrove Forest,Monsoon,22,Western Ghats,Alluvial,Wetlands,Guwahati,Northeast India,National tree of India,Yes,Least Concern,No,Spring,Night
Neem,Azadirachta indica,Mangrove Forest,Autumn,20,Himalayan Forests,Black,Riverbanks,Hyderabad,South India,Used in Ayurveda,Yes,Critically Endangered,Yes,Summer,Both
Banyan,Ficus benghalensis,Mangrove Forest,Summer,30,Sundarbans,Red,Riverbanks,Kolkata,East India,Host to diverse epiphytes,Yes,Near Threatened,No,Monsoon,Both
Sandalwood,Santalum album,Deciduous Forest,Winter,10,Jim Corbett National Park,Laterite,Riverbanks,Mumbai,West India,Fire-resistant bark,No,Critically Endangered,Yes,Monsoon,Night
Teak,Tectona grandis,Tropical Rainforest,Winter,35,Sundarbans,Sandy,Wetlands,Chennai,South India,High commercial value,No,Least Concern,No,Winter,Day
Coconut,Cocos nucifera,Tropical Rainforest,Spring,12,Kaziranga,Black,Hills,Hyderabad,South India,Used in shipbuilding,Yes,Least Concern,Yes,Winter,Both
Jamun,Syzygium cumini,Montane Forest,Monsoon,22,Kaziranga,Sandy,Riverbanks,Hyderabad,South India,National tree of India,Yes,Least Concern,Yes,Summer,Night
Rosewood,Dalbergia latifolia,Tropical Rainforest,Monsoon,15,Western Ghats,Laterite,Hills,Bhopal,Central India,Important timber species,No,Least Concern,Yes,Monsoon,Day
Mango,Mangifera indica,Mangrove Forest,Monsoon,18,Kaziranga,Black,Wetlands,Shimla,North India,Attracts fruit bats,Yes,Least Concern,Yes,Spring,Day
Teak,Tectona grandis,Montane Forest,Winter,35,Himalayan Forests,Sandy,Wetlands,Hyderabad,South India,High commercial value,No,Critically Endangered,No,Winter,Night
Coconut,Cocos nucifera,Deciduous Forest,Spring,12,Jim Corbett National Park,Black,Plains,Jaipur,West India,Used in shipbuilding,No,Least Concern,No,Monsoon,Both
Teak,Tectona grandis,Deciduous Forest,Spring,35,Western Ghats,Laterite,Riverbanks,Kolkata,East India,High commercial value,Yes,Critically Endangered,Yes,Spring,Both
Sandalwood,Santalum album,Montane Forest,Autumn,10,Kaziranga,Laterite,Hills,Guwahati,Northeast India,Fire-resistant bark,Yes,Least Concern,No,Summer,Day
